GENE	LINEAGE	CHR_query	Species	Amino acid length
ZNF492	HSA	chr19	HSA	532
CYP2A6	HSA	chr19	HSA	498
AC008687.1	HSA	chr19	HSA	156
LILRA1	HSA	chr19	HSA	490
KIR3DL1	HSA	chr19	HSA	445
STRN	HSA	chr2	HSA	781
RMND5A	HSA	chr2	HSA	392
PLGLB2	HSA	chr2	HSA	11
ANKRD36C	HSA	chr2	HSA	1824
CD8B2	HSA	chr2	HSA	226
LIMS3	HSA	chr2	HSA	404
MALL	HSA	chr2	HSA	189
ANAPC1	HSA	chr2	HSA	1956
TTL	HSA	chr2	HSA	378
POTEF	HSA	chr2	HSA	1082
MZT2B	HSA	chr2	HSA	272
CFC1B	HSA	chr2	HSA	230
TPTE	HSA	chr21	HSA	552
FRG2C	HSA	chr22	HSA	282
OR11H1	HSA	chr22	HSA	327
AC007326.4	HSA	chr22	HSA	601
USP41	HSA	chr22	HSA	359
GGT2	HSA	chr22	HSA	570
RFPL1	HSA	chr22	HSA	317
RAB43	HSA	chr3	HSA	332
ISY1-RAB43	HSA	chr3	HSA	332
ACKR4	HSA	chr3	HSA	121
AC104472.3	HSA	chr3	HSA	567
SLC33A1	HSA	chr3	HSA	567
OR4F5	HSA	chr3	HSA	327
USP17L27	HSA	chr4	HSA	531
CISD2	HSA	chr4	HSA	219
TRIM61	HSA	chr4	HSA	507
KLHL2	HSA	chr4	HSA	646
FRG2	HSA	chr4	HSA	280
OCLN	HSA	chr5	HSA	523
SERF1A	HSA	chr5	HSA	180
SMN1	HSA	chr5	HSA	329
NAIP	HSA	chr5	HSA	1515
GTF2H2	HSA	chr5	HSA	410
FAM153A	HSA	chr5	HSA	410
ZNF322	HSA	chr6	HSA	403
MICA	HSA	chr6	HSA	333
MRPS10	HSA	chr6	HSA	202
CTAGE9	HSA	chr6	HSA	778
RAMACL	HSA	chr6	HSA	119
UNC93A	HSA	chr6	HSA	458
SLC29A4	HSA	chr7	HSA	531
VKORC1L1	HSA	chr7	HSA	261
GTF2IRD2	HSA	chr7	HSA	1225
CASTOR2	HSA	chr7	HSA	330
TRIM73	HSA	chr7	HSA	284
POM121C	HSA	chr7	HSA	1230
RASA4B	HSA	chr7	HSA	804
RASA4	HSA	chr7	HSA	608
CTAGE15	HSA	chr7	HSA	778
TCAF2C	HSA	chr7	HSA	712
TCAF1	HSA	chr7	HSA	923
CTAGE4	HSA	chr7	HSA	778
ARHGEF35	HSA	chr7	HSA	485
ACTR3B	HSA	chr7	HSA	419
DEFA1B	HSA	chr8	HSA	95
PRR23D1	HSA	chr8	HSA	280
SLC35G5	HSA	chr8	HSA	339
PRR23D2	HSA	chr8	HSA	280
DEFB107A	HSA	chr8	HSA	71
DEFB105A	HSA	chr8	HSA	79
DEFB104A	HSA	chr8	HSA	73
SPAG11B	HSA	chr8	HSA	288
DEFB106B	HSA	chr8	HSA	66
DEFB103B	HSA	chr8	HSA	68
DEFB4A	HSA	chr8	HSA	65
BX664615.2	HSA	chr9	HSA	154
ANKRD20A3P	HSA	chr9	HSA	852
CBWD6	HSA	chr9	HSA	423
CNTNAP3B	HSA	chr9	HSA	1373
SPATA31A6	HSA	chr9	HSA	1344
ANKRD20A4P	HSA	chr9	HSA	841
ANKRD20A1	HSA	chr9	HSA	1204
CBWD3	HSA	chr9	HSA	264
OBP2A	HSA	chr9	HSA	230
SPACA5B	HSA	chrX	HSA	160
SSX4B	HSA	chrX	HSA	199
GAGE12J	HSA	chrX	HSA	118
GAGE13	HSA	chrX	HSA	117
GAGE12G	HSA	chrX	HSA	118
GAGE12F	HSA	chrX	HSA	118
GAGE12H	HSA	chrX	HSA	118
GAGE2A	HSA	chrX	HSA	118
GAGE12C	HSA	chrX	HSA	118
GAGE12D	HSA	chrX	HSA	117
GAGE12F	HSA	chrX	HSA	117
GAGE12G	HSA	chrX	HSA	117
GAGE12H	HSA	chrX	HSA	117
GAGE1	HSA	chrX	HSA	146
XAGE1B	HSA	chrX	HSA	87
SSX7	HSA	chrX	HSA	189
SSX2B	HSA	chrX	HSA	237
DMRTC1	HSA	chrX	HSA	198
PCDH11X	HSA	chrX	HSA	1360
NXF2	HSA	chrX	HSA	627
TMSB15B	HSA	chrX	HSA	46
CT47A6	HSA	chrX	HSA	289
CT47A5	HSA	chrX	HSA	289
CT47A4	HSA	chrX	HSA	289
CT47A3	HSA	chrX	HSA	289
CT47A2	HSA	chrX	HSA	289
CT47A1	HSA	chrX	HSA	289
CT45A1	HSA	chrX	HSA	190
CT45A3	HSA	chrX	HSA	190
CT45A7	HSA	chrX	HSA	190
TMEM185A	HSA	chrX	HSA	356
HSFX1	HSA	chrX	HSA	424
OPN1MW	HSA	chrX	HSA	365
IKBKG	HSA	chrX	HSA	593
F8	HSA	chrX	HSA	2426
IL9R	HSA	chrX	HSA	569
DHRSX	HSA	chrY	HSA	331
ZBED1	HSA	chrY	HSA	331
TGIF2LY	HSA	chrY	HSA	186
PCDH11Y	HSA	chrY	HSA	1368
PRKY	HSA	chrY	HSA	278
TSPY8	HSA	chrY	HSA	312
TSPY10	HSA	chrY	HSA	318
TSPY9P	HSA	chrY	HSA	315
TSPY3	HSA	chrY	HSA	312
TSPY1	HSA	chrY	HSA	318
TSPY4	HSA	chrY	HSA	325
TSPY10	HSA	chrY	HSA	312
TSPY1	HSA	chrY	HSA	312
HSFY2	HSA	chrY	HSA	479
RBMY1B	HSA	chrY	HSA	568
RBMY1A1	HSA	chrY	HSA	568
PRY	HSA	chrY	HSA	158
BPY2B	HSA	chrY	HSA	107
CDY1	HSA	chrY	HSA	565
VAMP7	HSA	chrY	HSA	283
IL9R	HSA	chrY	HSA	569
